trades,liqs,net,mdd,days,daily,d2x,hold,thr,L
44,7,97.38448432953425,0.3599999999999999,215,0.02157304712052044,32.47558069830479,24,80,7
44,4,43.86964422507852,0.3599999999999999,215,0.017849342856338435,39.178756127403524,24,80,5
44,2,10.441642414700345,0.29967112660174267,215,0.011400587861885247,61.14516782837651,24,80,3
284,27,2.4910176455173647,0.7316432069472532,209,0.005999712650227806,115.876291085181,24,75,7
284,7,2.2175411132158724,0.5312825554457293,209,0.005607132447693397,123.96508555830948,24,75,3
284,19,1.354797965027816,0.7618400834449751,209,0.00410627824957599,169.14814193659444,24,75,5
502,4,1.065414706888208,0.8447190085488003,208,0.003493255672581519,198.7707777976765,24,65,3
42,7,0.7380145972357843,0.5521333739891874,215,0.002574207250723548,269.61269351626584,12,80,7
194,8,0.6766425117814234,0.691060181503466,209,0.002475754793958007,280.3205147266576,48,75,3
42,2,0.3534376268319681,0.3349185674583641,215,0.001408655159451211,492.40956102322826,12,80,3
42,4,0.3497457161793296,0.475642447216552,215,0.0013959325537662437,496.8942514928892,12,80,5
1114,4,0.2711338752854864,0.6438837666227288,200,0.001200266330434241,577.8409844719786,6,65,3
49,12,0.2892797772986577,0.713280349344652,213,0.0011935932228241963,581.0696248464517,48,80,7
292,3,0.2624217646027438,0.43177506917343567,208,0.0011209735506352292,618.6904298077642,12,75,3
479,7,0.19590342616444323,0.710158298463671,210,0.0008522768145824422,813.6353158873476,24,70,3
723,4,0.06287003817588444,0.6582663248577653,206,0.0002960284311126493,2341.835101883214,12,65,3
65,7,0.06127066754778987,0.5565019990122171,216,0.00027534777705184865,2517.698206506132,6,80,7
264,9,-0.018695372025916535,0.7025310005201617,210,-8.986424584489505e-05,,48,70,3
49,5,-0.03208248857557383,0.4917728348055652,213,-0.00015307941270126246,,48,80,3
421,3,-0.07293787769317639,0.4105711418482346,207,-0.00036580120067597477,,6,75,3
49,10,-0.13002484514329016,0.6221305519632125,213,-0.0006537328215406868,,48,80,5
65,6,-0.18284511176525398,0.5295571194333131,216,-0.0009344086329633461,,6,80,5
502,14,-0.19416420109538546,0.9697530933571987,208,-0.0010373235339002917,,24,65,5
65,4,-0.25129622484167036,0.48333533880577007,216,-0.0013389725321066859,,6,80,3
269,8,-0.23787339181627176,0.7005295385305501,193,-0.001406484503992167,,48,65,3
292,11,-0.26088822924861244,0.788449762758025,208,-0.001452339157891669,,12,75,5
1114,14,-0.2997475227548121,0.8810669123437056,200,-0.001779985579233645,,6,65,5
723,17,-0.3488827336534368,0.8455957203261475,206,-0.002080674720940423,,12,65,5
264,21,-0.38200080063240494,0.8840866812864483,210,-0.0022891288775028773,,48,70,5
479,18,-0.4240786016521666,0.8671562213960899,210,-0.0026240943095883207,,24,70,5
1027,4,-0.43313321735281907,0.5598696533037633,207,-0.002738422184995204,,6,70,3
502,25,-0.46716047449336773,0.9896187860606148,208,-0.003022034902990689,,24,65,7
194,16,-0.5163333789352751,0.8648072842094003,209,-0.003469371645182462,,48,75,5
194,23,-0.5881760448511392,0.9274824672818175,209,-0.004235785057102759,,48,75,7
421,10,-0.6046824498474719,0.8346354713340731,207,-0.004473374725675439,,6,75,5
292,17,-0.6263976408364975,0.8952931927284489,208,-0.004722291953899838,,12,75,7
723,28,-0.6391324452812435,0.9262280934262328,206,-0.004935567590927836,,12,65,7
1027,12,-0.6993516661696334,0.7564212597930339,207,-0.0057890433841708555,,6,70,5
1114,26,-0.7179080408631058,0.9632095700856004,200,-0.006307633653613753,,6,65,7
421,22,-0.7485991152915403,0.9032084802685266,207,-0.00664788393054172,,6,75,7
264,38,-0.7911532244417807,0.9801047496883454,210,-0.0074301372566653034,,48,70,7
269,19,-0.7997567635706797,0.8966663461355915,193,-0.008298137702583697,,48,65,5
640,7,-0.9032636138122864,0.914249958127362,206,-0.011274627865881737,,12,70,3
1027,28,-0.9275042882592053,0.9164148361716122,207,-0.01259740921019803,,6,70,7
479,40,-0.9342550602682024,0.9404244117323,210,-0.012878132136158293,,24,70,7
640,18,-0.9721330167541278,0.9770365093132584,206,-0.017229994932674964,,12,70,5
269,34,-0.9745453469785865,0.9872683135615568,193,-0.01884024448769972,,48,65,7
640,38,-0.9990926937248424,0.9986902216379743,206,-0.0334333304860015,,12,70,7
