symbol,strategy,params,L,train_net_return,train_CAGR,train_MDD,train_Sharpe,train_trades,test_net_return,test_CAGR,test_MDD,test_Sharpe,test_win_rate,test_trades,fees_paid,funding_paid,funding_coverage,liquidated,turnover,train_gate,gate,train_all_pass,all_pass,selected_L,exploratory
SOXSUSDT,B3_session,"{""which"": ""hour_55_long"", ""window"": 3}",5,0.4751159843970918,10.152377042288586,0.42049071399741744,1.773123709917279,8,35.71510925911741,364776893122990.4,0.531207318623194,3.0476813538304093,0.5,6,84.59745165761232,0.0,0.12566560170394037,False,67892.39027672526,"{""all_pass"": false, ""bankruptcy_probability"": 0.112, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 131.6840606347852, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.325, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 62.736883833589005, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,True
SOXSUSDT,B3_session,"{""which"": ""hour_55_long"", ""window"": 3}",3,0.3504568553473948,5.448802523770542,0.27286645223992134,1.7725474105648855,8,26.6540199530209,26098574365428.344,0.32998488643517565,3.0478298501839785,0.5,6,41.90108948287805,0.0,0.12566560170394037,False,33627.07817376156,"{""all_pass"": false, ""bankruptcy_probability"": 0.01, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 188.64958788669784, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.115, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 131.8361000727666, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,True
SOXSUSDT,B3_session,"{""which"": ""hour_55_long"", ""window"": 3}",2,0.2521488153976268,3.0349678502021593,0.18918351204840755,1.769416952126943,8,18.632152018939717,1076498589475.0063,0.22376865084233377,3.0479961683059393,0.5,6,22.30679814216471,0.0,0.12566560170394037,False,17901.97949958816,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 222.63209411556377, ""mdd_le_25"": true, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.017, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 182.829625058309, ""mdd_le_25"": true, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,True
UNHUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",10,-1.0,-1.0,1.0,-1.850376951249677,1,12.243217156798723,14066.12702879054,0.6183325171068905,4.408692634183177,1.0,2,9.266733224815503,-106.7561715039858,0.11393477340110122,False,9133.961419857931,"{""all_pass"": false, ""bankruptcy_probability"": 1.0, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 121.59392662675198, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 310.3565871154569, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
MRVLUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",3,-1.0,-1.0,1.0,-6.780834123729929,0,9.51240352493884,1042.8019671321056,0.8255139841697317,3.156409370932383,1.0,2,10.318282489261172,308.32086533739573,0.09106296547054842,False,12897.853111576464,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 748.0100216968355, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
MRVLUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",5,-1.0,-1.0,1.0,-8.255061954805397,0,8.400312988523979,749.1506233143131,0.9757878741175668,3.0021239526596637,1.0,2,12.338285704234256,1284.6258838311148,0.09106296547054842,False,15422.85713029282,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 1235.7598033549598, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
MRVLUSDT,B5_cross_section,"{""lookback"": 20, ""top"": 3, ""bottom"": 3, ""rebalance"": ""weekly""}",5,-0.13758560363827166,-0.25286997719099,0.47829735197763457,-0.03499900592596507,1,7.712138554104934,598.2363753703875,0.7798035511562093,3.3145026061529195,0.6666666666666666,3,44.61720894125628,66.39759051515247,0.09106296547054842,False,55771.51117657035,"{""test_net_positive"": false, ""mdd_le_25"": false, ""bootstrap_floor_gt_300"": false, ""bankruptcy_probability_lt_5"": true, ""trades_ge_15"": false, ""sign_preserved"": true, ""bootstrap_p05_equity"": 258.7243189085185, ""bankruptcy_probability"": 0.0, ""all_pass"": false}","{""test_net_positive"": true, ""mdd_le_25"": false, ""bootstrap_floor_gt_300"": false, ""bankruptcy_probability_lt_5"": false, ""trades_ge_15"": false, ""sign_preserved"": false, ""bootstrap_p05_equity"": 60.32046287594545, ""bankruptcy_probability"": 0.371, ""all_pass"": false}",False,False,,False
UNHUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",7,-1.0,-1.0,1.0,-2.0257519083533864,1,7.02437646725944,2205.815865467515,0.464219432401097,4.428382184683835,1.0,2,6.46201994069586,-51.25818708500677,0.11393477340110122,False,6369.433477874158,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 183.6432663693572, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 307.79559876591344, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
SOXSUSDT,B0_buy_hold,"{""direction"": 1}",1,-0.7613679547051044,-0.9998621076327252,0.829177694515673,-5.000055770939345,1,6.56804069972606,151211535.73603103,0.5234084641567442,3.0222450715842273,1.0,1,0.373815613117162,-11.064573776708672,0.12566560170394037,False,300.0,"{""all_pass"": false, ""bankruptcy_probability"": 1.0, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 71.58961358846867, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 2270.412209917818, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,True
MRVLUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",2,-0.9291997941708688,-0.9945649172964562,0.9357427477155036,-4.637488455492253,8,5.68888381723672,273.4776262162717,0.6353887295247647,3.2339624592459963,1.0,2,5.1682235149592515,107.75278058949645,0.09106296547054842,False,6460.279393699064,"{""all_pass"": false, ""bankruptcy_probability"": 0.999, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 7.101018459092096, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 563.7026989731332, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
