symbol,strategy,L,train_net,test_net,train_trades,test_trades,test_MDD,liquidated,funding_paid,all_pass,vol
0GUSDT,F_fade,2,0.0,-0.4274121712548842,0,171,0.5237766320094377,False,-19.001057283039966,False,5596431.4197
0GUSDT,F_fade,3,0.0,-0.6264627477946089,0,171,0.7011504303106257,False,-26.326229645370407,False,5596431.4197
0GUSDT,F_fade,5,0.0,-0.884212601079075,0,171,0.9084818998328791,False,-35.61550830764934,False,5596431.4197
0GUSDT,F_flip,2,0.0,0.3946126774321559,0,15,0.27653532202500586,False,13.792055301566409,False,5596431.4197
0GUSDT,F_flip,3,0.0,0.5615289462236743,0,15,0.3894130562429604,False,23.13956939575973,False,5596431.4197
0GUSDT,F_flip,5,0.0,0.7612398870027417,0,15,0.57225339226769,False,47.24783148309968,False,5596431.4197
1000BONKUSDT,F_fade,2,0.0,-0.45171004578575613,0,203,0.5176718247987353,False,-7.048874710580037,False,9311725.008009
1000BONKUSDT,F_fade,3,0.0,-0.6444496840580858,0,203,0.6977289143977399,False,-7.63734542917094,False,9311725.008009
1000BONKUSDT,F_fade,5,0.0,-0.8856322192622716,0,203,0.9087260035225051,False,-6.061868279757442,False,9311725.008009
1000BONKUSDT,F_flip,2,0.0,0.06595346765614574,0,11,0.1922243949669672,False,-0.05171037910545627,False,9311725.008009
1000BONKUSDT,F_flip,3,0.0,0.05740976017268418,0,11,0.28104342663156945,False,-0.015769989495546685,False,9311725.008009
1000BONKUSDT,F_flip,5,0.0,-0.03794422401081077,0,11,0.4419855453210957,False,0.0981853871288478,False,9311725.008009
1000XECUSDT,F_fade,2,0.0,-0.67527231266222,0,116,0.7006835416962066,False,-10.92293396404471,False,4122188.792067
1000XECUSDT,F_fade,3,0.0,-1.0,0,19,1.0,True,-1.6605976462810794,False,4122188.792067
1000XECUSDT,F_fade,5,0.0,-1.0,0,19,1.0,True,-2.70257523637119,False,4122188.792067
1000XECUSDT,F_flip,2,0.0,0.4926225362210175,0,3,0.07981159596748422,False,20.599816655078204,False,4122188.792067
1000XECUSDT,F_flip,3,0.0,0.7946820626882831,0,3,0.11879144815787912,False,36.16517152990525,False,4122188.792067
1000XECUSDT,F_flip,5,0.0,1.5156435940941715,0,3,0.19464583646468459,False,81.12445128168822,False,4122188.792067
AAOIUSDT,F_fade,2,-0.7941848549639071,-0.2911378709786594,23,2,0.33185037904814907,False,-0.30734827473063936,False,3109301.9949
AAOIUSDT,F_fade,3,-0.9247183425150145,-0.4193976740358145,23,2,0.46830763463222735,False,-0.46709524835265254,False,3109301.9949
AAOIUSDT,F_fade,5,-1.0,-0.639385128128359,3,2,0.6878533610578277,False,-0.797557233094081,False,3109301.9949
AAOIUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,3109301.9949
AAOIUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,3109301.9949
AAOIUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,3109301.9949
AAPLUSDT,F_fade,2,0.0,0.04431045870952999,0,6,0.029622305716837105,False,-6.009569683366309,False,4541423.9803
AAPLUSDT,F_fade,3,0.0,0.06661888011654904,0,6,0.04418600517295157,False,-9.019670144424117,False,4541423.9803
AAPLUSDT,F_fade,5,0.0,0.11147795754282752,0,6,0.07282470870352198,False,-15.047131684929564,False,4541423.9803
AAPLUSDT,F_flip,2,0.0,0.0,0,0,0.0,False,0.0,False,4541423.9803
AAPLUSDT,F_flip,3,0.0,0.0,0,0,0.0,False,0.0,False,4541423.9803
AAPLUSDT,F_flip,5,0.0,0.0,0,0,0.0,False,0.0,False,4541423.9803
AAVEUSDT,F_fade,2,0.0,-0.5679787366952689,0,60,0.6876160095809276,False,-1.90162959024647,False,9922637.373
AAVEUSDT,F_fade,3,0.0,-0.7358595006792725,0,60,0.831282987142951,False,-2.653702948073343,False,9922637.373
AAVEUSDT,F_fade,5,0.0,-0.9150294361706165,0,60,0.954271547668693,False,-4.086628536009498,False,9922637.373
AAVEUSDT,F_flip,2,0.0,0.13886438679360014,0,8,0.24593957597114124,False,-0.8873141383437884,False,9922637.373
AAVEUSDT,F_flip,3,0.0,0.14416408235518752,0,8,0.3498870130419378,False,-1.2994645647369851,False,9922637.373
AAVEUSDT,F_flip,5,0.0,0.02342711371511208,0,8,0.5239200333070759,False,-2.0026196716162974,False,9922637.373
ADAUSDT,F_fade,2,0.0,-0.37591637696233804,0,48,0.65787762742898,False,-2.5388726834370363,False,26148442.844
ADAUSDT,F_fade,3,0.0,-0.5424450934313203,0,48,0.8099104257004106,False,-3.6004297270051526,False,26148442.844
ADAUSDT,F_fade,5,0.0,-1.0,0,42,1.0,True,-5.280376223910017,False,26148442.844
ADAUSDT,F_flip,2,0.0,0.028217352140659235,0,5,0.14571373317986647,False,-0.7139316000468419,False,26148442.844
ADAUSDT,F_flip,3,0.0,0.030731351538432206,0,5,0.21358982621785305,False,-1.0829108400711804,False,26148442.844
ADAUSDT,F_flip,5,0.0,0.012108183773928083,0,5,0.33908676384748404,False,-1.8292644932890165,False,26148442.844
AEROUSDT,F_fade,2,0.0,-0.7384322122300991,0,190,0.7850614137400195,False,-3.4828231618845047,False,1442616.0664
