symbol,strategy,params,L,train_net_return,train_CAGR,train_MDD,train_Sharpe,train_trades,test_net_return,test_CAGR,test_MDD,test_Sharpe,test_win_rate,test_trades,fees_paid,funding_paid,funding_coverage,liquidated,turnover,train_gate,gate,train_all_pass,all_pass,selected_L,exploratory
UNHUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",15,-1.0,-1.0,1.0,-0.5882152107692438,1,17.52132970309569,48617.86311851442,0.8162317054631414,4.3556693294003415,1.0,2,13.972445286117834,-227.11816456452863,0.11393477340110122,False,13772.25102830313,"{""all_pass"": false, ""bankruptcy_probability"": 1.0, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 45.4621808373864, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 313.5603561500518, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
UNHUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",20,-1.0,-1.0,1.0,0.0,0,12.818337615321198,16460.28537600108,0.926593250799471,4.275656544443836,1.0,2,18.69984156267822,-313.5445619444256,0.11393477340110122,False,18431.91416513011,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 315.4179211863457, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
EWHUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",20,-0.7280739662471221,-0.9996899487030154,0.9585759922300733,0.9297377891705991,43,10.948849630329645,10600062980.837355,0.5679235198588142,6.409860807948779,0.6944444444444444,36,3761.9359035823572,202.1720870467746,0.12566560170394037,False,2185093.6828882466,"{""all_pass"": false, ""bankruptcy_probability"": 0.815, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 4.4401185074056295, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.049, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 407.6335374923383, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": true}",False,False,,True
MRVLUSDT,B3_session,"{""which"": ""hour_39_long"", ""window"": 3}",20,-1.0,-1.0,1.0,-4.26736595251094,11,10.190452780386906,1254.509138827864,0.578437992070937,2.2858089029083244,0.5555555555555556,18,1204.9577840973388,0.0,0.09106296547054842,False,1506197.230121673,"{""all_pass"": false, ""bankruptcy_probability"": 0.97, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 36.11221798127772, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.178, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 194.31862787557193, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": true}",False,False,,False
EWHUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",15,-0.36765240376809916,-0.9417674607365254,0.8735907519239762,1.1296640164791838,43,7.550077817630886,470613227.5642543,0.4267025514687901,6.753415777818056,0.6944444444444444,36,2053.8416279268467,101.49781415767666,0.12566560170394037,False,1192959.285287732,"{""all_pass"": false, ""bankruptcy_probability"": 0.63, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 22.347196966837558, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.015, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 506.4479515745943, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": true}",False,False,,True
SOXSUSDT,B0_buy_hold,"{""direction"": 1}",1,-0.7613679547051044,-0.9998621076327252,0.829177694515673,-5.000055770939345,1,6.56804069972606,151211535.73603103,0.5234084641567442,3.0222450715842273,1.0,1,0.373815613117162,-11.064573776708672,0.12566560170394037,False,300.0,"{""all_pass"": false, ""bankruptcy_probability"": 1.0, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 71.58961358846867, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 2270.412209917818, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,True
MRVLUSDT,B3_session,"{""which"": ""hour_39_long"", ""window"": 3}",15,-1.0,-1.0,1.0,-3.8133468978532035,11,6.536523363424049,389.48236337495075,0.4477139365384637,2.3436288736254,0.5555555555555556,18,588.89609739095,0.0,0.09106296547054842,False,736120.1217386876,"{""all_pass"": false, ""bankruptcy_probability"": 0.841, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 64.19544999542872, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.088, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 259.3472040225112, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": true}",False,False,,False
ARMUSDT,B3_session,"{""which"": ""hour_9_long"", ""window"": 3}",15,0.48798763685332736,1.1763286462256684,0.7306353476776306,1.113759922222231,27,6.459493578526733,364.4862641020073,0.5359663561733272,2.779277623830129,0.5555555555555556,18,388.0855549552238,7.430852424407334,0.0905114401076716,False,485106.9436940299,"{""all_pass"": false, ""bankruptcy_probability"": 0.408, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 48.86235366845039, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.211, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 155.6337952670872, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": true}",False,False,,False
EWYUSDT,B3_session,"{""which"": ""hour_19_short"", ""window"": 3}",20,0.10990668618200683,0.6884817678985868,0.6107300060046341,1.0388085814912564,10,5.721501094336094,1725626.2684187086,0.4146918106819335,4.980283745255798,0.8571428571428571,7,194.16424066435957,-6.399573425436469,0.12424503882657463,False,242705.3008304495,"{""all_pass"": false, ""bankruptcy_probability"": 0.191, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 116.96743725775897, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.006, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 525.5808787787768, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
UNHUSDT,B0_buy_hold,"{""direction"": 1}",5,-1.0,-1.0,1.0,-2.5006525480516393,0,3.9012563745209192,355.6044641842675,0.35299674782013857,4.437464323732916,1.0,1,1.5218040889688207,-25.857814181426676,0.11393477340110122,False,1500.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 1470.3769123562759, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": true, ""trades_ge_15"": false}",False,False,,False
