    연도         1x/없음         2x/없음        2x/15%        3x/10%
  2019     1.00x( 0)     1.00x( 0)     1.00x( 0)     1.00x( 0)
  2020     1.61x( 2)     1.99x( 2)     1.99x( 2)     1.71x( 1)
  2021     1.73x( 1)     2.30x( 4)     2.30x( 4)     2.13x( 3)
  2022     1.43x( 1)     1.67x( 2)     1.67x( 2)     1.76x( 2)
  2023     1.81x( 2)     2.56x( 3)     2.56x( 3)     2.09x( 5)
  2024     1.28x( 0)     1.37x( 2)     1.37x( 2)     1.83x( 3)
  2025     0.83x( 0)     0.59x( 2)     0.59x( 2)     0.37x( 3)
  2026     0.96x( 0)     0.82x( 2)     0.82x( 2)     0.91x( 2)

    최종        7.33x        12.99x        12.99x         8.34x 
   손실년            2개             2개             2개             2개 
   최악년        0.83x         0.59x         0.59x         0.37x 
  +30%            6건            17건            17건            19건 
  최악1회       -13.4%        -26.8%        -26.8%        -30.2% 

괄호 = 그 해에 1회 진입으로 +30% 이상 낸 횟수
